User_Id,Posted,Item_Id,Recommend,Year,Sentiment_Analysis
76561197970982479,2011-11-05,1250,True,2011,1
76561197970982479,2011-07-15,22200,True,2011,2
76561197970982479,2011-04-21,43110,True,2011,1
js41637,2014-06-24,251610,True,2014,1
js41637,2013-09-08,227300,True,2013,1
js41637,2013-11-29,239030,True,2013,1
evcentric,2015-12-04,370360,True,2015,2
evcentric,2014-11-03,237930,True,2014,2
evcentric,2014-10-15,263360,True,2014,0
evcentric,2014-10-15,107200,True,2014,1
evcentric,2014-10-15,224500,True,2014,1
doctr,2013-10-14,250320,True,2013,2
doctr,2012-07-28,20920,True,2012,2
doctr,2012-06-02,204100,True,2012,2
doctr,2014-06-29,224600,True,2014,1
doctr,2012-11-22,207610,True,2012,0
doctr,2012-02-23,108710,True,2012,2
maplemage,2014-04-15,211420,True,2014,1
maplemage,2013-12-23,211820,True,2013,1
maplemage,2014-03-14,730,True,2014,2
maplemage,2013-07-11,204300,True,2013,2
Wackky,2014-05-05,249130,True,2014,0
Wackky,2012-12-24,207610,True,2012,1
Wackky,2012-10-21,550,True,2012,1
Wackky,2012-03-20,65800,True,2012,0
Wackky,2012-03-09,220,True,2012,2
76561198089393905,2015-02-01,72850,True,2015,0
76561198089393905,2014-06-20,440,True,2014,1
76561198077246154,2014-08-25,304930,True,2014,1
WeiEDKrSat,2013-12-25,4000,True,2013,1
thequeenpanda,2012-06-23,42910,True,2012,1
death-hunter,2015-09-05,232090,True,2015,1
death-hunter,2015-03-30,1250,True,2015,2
death-hunter,2014-02-19,4000,True,2014,2
DJKamBer,2014-07-14,304930,True,2014,1
DJKamBer,2013-04-27,570,True,2013,2
DJKamBer,2015-07-20,218620,True,2015,1
DJKamBer,2013-11-04,224260,True,2013,1
DJKamBer,2013-07-12,1250,True,2013,1
DJKamBer,2012-08-19,440,True,2012,1
Rainbow-Dashie,2015-06-19,730,True,2015,2
Rainbow-Dashie,2014-09-20,440,True,2014,1
Rainbow-Dashie,2014-09-07,49520,True,2014,0
76561198043472122,2014-12-19,33440,False,2014,0
MarbleShrine,2015-02-17,220200,True,2015,1
PPanther,2014-06-07,211820,True,2014,1
devvonst,2014-02-12,440,True,2014,2
devvonst,2014-02-09,218740,True,2014,1
devvonst,2015-10-31,550,True,2015,2
starkillershadow553,2015-02-04,238090,True,2015,1
starkillershadow553,2014-04-05,277430,True,2014,1
76561198058373434,2015-01-08,8870,True,2015,1
76561198048353577,2015-10-26,368230,True,2015,0
76561198048353577,2013-03-20,33930,True,2013,1
76561198066046412,2015-12-28,359320,False,2015,0
76561198066046412,2015-05-19,219640,True,2015,2
tru_mu_,2015-12-15,287980,True,2015,1
76561198070565427,2015-08-21,208090,True,2015,1
76561198070565427,2014-10-17,242700,True,2014,1
76561198070565427,2014-06-27,570,False,2014,1
76561198070565427,2014-04-28,224260,True,2014,1
SavageEeEe,2015-11-12,221100,True,2015,2
76561198076909484,2014-06-18,570,True,2014,0
KanadeTheNeko,2014-11-20,331470,True,2014,2
KanadeTheNeko,2014-05-29,4000,True,2014,1
GoAwayZach,2014-12-29,304930,True,2014,2
76561198054540475,2015-02-13,12210,True,2015,1
76561198054540475,2014-12-26,265210,True,2014,1
76561198054540475,2014-02-04,48700,True,2014,1
76561198061252210,2015-05-21,730,True,2015,1
OfficialShroomsy,2013-12-06,113200,True,2013,1
boydeer,2014-05-12,440,True,2014,1
boydeer,2015-08-24,383080,False,2015,1
VVillis,2015-01-06,213670,True,2015,1
76561198083226897,2015-12-22,105600,True,2015,1
76561198075277292,2015-06-23,730,True,2015,1
76561198075277292,2015-09-11,570,True,2015,1
76561198028895010,2013-04-22,231180,True,2013,2
76561198028895010,2012-05-27,620,True,2012,2
diego9031,2015-12-05,223710,True,2015,1
diego9031,2015-10-04,299360,True,2015,1
diego9031,2015-10-03,322330,True,2015,1
diego9031,2015-08-13,1250,True,2015,1
diego9031,2015-02-22,12100,True,2015,1
diego9031,2015-01-14,204360,True,2015,2
diego9031,2013-12-14,440,True,2013,0
diego9031,2013-12-01,224260,True,2013,1
jarrodtrim,2012-02-11,440,True,2012,2
76561198067936203,2015-03-12,440,True,2015,1
76561198079770573,2015-10-14,1840,True,2015,1
76561198087586464,2013-10-27,440,True,2013,2
Derp-e,2015-11-27,440,True,2015,1
76561198070194565,2014-10-09,233250,True,2014,1
76561198070194565,2015-11-09,248570,True,2015,1
Rivtex,2015-12-23,298630,True,2015,1
UTNerd24,2014-05-06,244210,True,2014,1
UTNerd24,2015-12-02,440,True,2015,1
UTNerd24,2015-06-06,376920,True,2015,1
UTNerd24,2015-09-29,257750,True,2015,1
UTNerd24,2014-09-08,221910,True,2014,0
UTNerd24,2013-12-15,2280,True,2013,2
sandwiches1,2015-11-23,417860,False,2015,1
76561198138053270,2014-06-01,218620,True,2014,1
lucaswerg,2014-07-11,218620,True,2014,1
lucaswerg,2014-11-14,222880,True,2014,1
Life-Of-Blu,2015-11-13,377160,True,2015,2
Life-Of-Blu,2013-12-15,211820,True,2013,1
CaptianAutismo,2015-12-17,252490,True,2015,2
76561198075895633,2014-10-26,440,True,2014,1
kube134,2014-06-28,251990,True,2014,2
iamthekingofbrowntown,2015-09-12,344760,False,2015,0
iamthekingofbrowntown,2015-09-13,252950,True,2015,1
iamthekingofbrowntown,2015-10-14,399730,True,2015,1
yookobz,2015-11-19,377160,True,2015,2
yookobz,2013-06-25,219150,True,2013,2
Posiblydead,2014-04-11,277430,True,2014,1
Posiblydead,2014-02-22,239820,True,2014,2
Posiblydead,2012-09-24,17410,True,2012,2
Mossy_Gaming,2015-09-26,440,True,2015,2
76561198102421718,2015-06-12,270550,True,2015,1
76561198102421718,2015-08-03,274940,True,2015,1
76561198102421718,2015-06-26,333930,True,2015,1
76561198087407319,2014-01-15,440,True,2014,0
76561198056741844,2014-10-14,730,True,2014,1
sad-commie,2014-07-09,212070,True,2014,2
sad-commie,2014-03-13,264140,True,2014,1
76561198030567998,2014-11-11,332800,True,2014,1
76561198030567998,2015-07-21,319630,True,2015,1
76561198030567998,2015-07-05,6020,True,2015,1
76561198030567998,2015-03-12,55230,True,2015,1
76561198030567998,2014-02-23,32430,True,2014,1
Coldaniel,2015-03-22,35450,True,2015,2
Coldaniel,2014-08-21,440,True,2014,1
Coldaniel,2015-03-13,236390,True,2015,2
therealmorty,2015-03-20,351570,True,2015,1
therealmorty,2015-03-07,212680,True,2015,0
Berserklejerker,2015-10-10,391540,True,2015,1
76561198061730629,2014-07-06,550,True,2014,1
YoHuNz,2014-06-19,440,True,2014,1
YoHuNz,2014-02-19,570,True,2014,1
possessioniskey,2015-04-11,72850,True,2015,2
possessioniskey,2015-12-24,440,True,2015,1
possessioniskey,2014-05-17,113400,True,2014,1
76561198093112529,2014-08-09,440,True,2014,1
76561198060447950,2015-09-26,200510,True,2015,1
whiteofwolfing,2015-05-22,730,True,2015,1
sergarino,2015-08-22,383080,True,2015,1
76561198081962345,2014-04-05,1250,True,2014,1
Nozomikat,2015-12-30,265610,True,2015,1
Nozomikat,2014-08-01,264200,True,2014,1
Nozomikat,2015-12-26,417860,True,2015,1
Nozomikat,2015-04-14,333600,True,2015,2
Nozomikat,2014-12-30,213670,True,2014,1
